City,Lat,Lng,Max_Temp,Humidity,Speed,Date,Cloudiness,Country
umm lajj,25.0213,37.2685,82.06,55,4.36,04/24/2021,0,SA
mount gambier,-37.8333,140.7667,50.0,100,8.05,04/24/2021,75,AU
vaini,-21.2,-175.2,69.8,100,6.22,04/24/2021,20,TO
kirakira,-10.4544,161.9205,78.82,82,1.68,04/24/2021,99,SB
tasiilaq,65.6145,-37.6368,37.4,75,4.61,04/24/2021,75,GL
rikitea,-23.1203,-134.9692,78.58,70,16.15,04/24/2021,99,PF
lavrentiya,65.5833,-171.0,24.33,93,2.59,04/24/2021,85,RU
bambous virieux,-20.3428,57.7575,79.0,89,14.97,04/24/2021,75,MU
ushuaia,-54.8,-68.3,55.4,58,12.66,04/24/2021,75,AR
mataura,-46.1927,168.8643,51.01,74,8.99,04/24/2021,59,NZ
conde,-7.2597,-34.9075,82.4,78,11.5,04/24/2021,75,BR
dingle,10.9995,122.6711,76.37,84,1.41,04/24/2021,78,PH
chokurdakh,70.6333,147.9167,-15.03,98,3.85,04/24/2021,15,RU
luderitz,-26.6481,15.1594,62.01,87,5.44,04/24/2021,1,NA
lossiemouth,57.7214,-3.2834,53.6,76,16.11,04/24/2021,20,GB
castro,-24.7911,-50.0119,73.76,49,6.06,04/24/2021,7,BR
qaanaaq,77.484,-69.3632,28.17,66,7.29,04/24/2021,99,GL
bahia blanca,-38.7196,-62.2724,65.73,41,11.92,04/24/2021,23,AR
kapaa,22.0752,-159.319,75.2,73,16.11,04/24/2021,40,US
santa cruz,-17.8,-63.1667,68.0,94,2.3,04/24/2021,90,BO
jamestown,42.097,-79.2353,62.01,30,13.8,04/24/2021,1,US
albany,42.6001,-73.9662,70.0,19,3.0,04/24/2021,57,US
hithadhoo,-0.6,73.0833,83.5,70,7.81,04/24/2021,46,MV
atuona,-9.8,-139.0333,80.65,73,21.23,04/24/2021,25,PF
ribeira grande,38.5167,-28.7,60.8,67,18.41,04/24/2021,75,PT
hermanus,-34.4187,19.2345,62.01,80,1.01,04/24/2021,98,ZA
torata,-17.0769,-70.8433,66.27,39,9.46,04/24/2021,1,PE
ixtapa,20.7,-105.2,82.4,57,9.22,04/24/2021,75,MX
provideniya,64.3833,-173.3,33.84,86,1.07,04/24/2021,89,RU
avarua,-21.2078,-159.775,78.8,73,12.66,04/24/2021,20,CK
san juan,-31.5375,-68.5364,73.11,29,7.47,04/24/2021,0,AR
kaitangata,-46.2817,169.8464,44.01,89,4.0,04/24/2021,45,NZ
khatanga,71.9667,102.5,32.23,97,17.07,04/24/2021,100,RU
santa rosa,14.3122,121.1114,81.0,78,3.78,04/24/2021,20,PH
namibe,-15.1961,12.1522,79.57,75,9.53,04/24/2021,44,AO
hilo,19.7297,-155.09,69.8,88,3.44,04/24/2021,90,US
georgetown,5.4112,100.3354,82.0,89,4.61,04/24/2021,40,MY
upernavik,72.7868,-56.1549,34.16,85,5.99,04/24/2021,40,GL
geraldton,-28.7667,114.6,60.8,94,5.75,04/24/2021,40,AU
altamira,-3.2033,-52.2064,78.8,89,3.44,04/24/2021,75,BR
busselton,-33.65,115.3333,52.0,88,1.86,04/24/2021,0,AU
maniitsoq,65.4167,-52.9,38.84,71,0.45,04/24/2021,0,GL
hasaki,35.7333,140.8333,50.0,100,3.44,04/24/2021,20,JP
catumbela,-12.4314,13.5472,80.94,86,1.66,04/24/2021,47,AO
sur,22.5667,59.5289,87.75,38,10.2,04/24/2021,0,OM
tuktoyaktuk,69.4541,-133.0374,21.2,73,4.61,04/24/2021,75,CA
nieuw nickerie,5.95,-56.9833,76.03,91,14.88,04/24/2021,100,SR
newport,51.5877,-2.9984,60.8,41,14.97,04/24/2021,25,GB
butaritari,3.0707,172.7902,82.44,76,11.7,04/24/2021,96,KI
san policarpo,12.1791,125.5072,77.32,86,4.74,04/24/2021,86,PH
kodiak,57.79,-152.4072,42.8,87,2.68,04/24/2021,90,US
trofors,65.5333,13.4063,37.4,56,16.11,04/24/2021,20,NO
bluff,-46.6,168.3333,50.0,75,4.0,04/24/2021,82,NZ
cape town,-33.9258,18.4232,63.0,77,13.8,04/24/2021,0,ZA
harper,4.375,-7.7169,83.28,76,10.04,04/24/2021,78,LR
hamilton,39.1834,-84.5333,54.0,71,5.75,04/24/2021,90,US
carnarvon,-24.8667,113.6333,62.6,94,6.91,04/24/2021,0,AU
aulum,56.2649,8.787,44.6,57,12.66,04/24/2021,75,DK
airai,-8.9266,125.4092,56.98,92,2.48,04/24/2021,30,TL
bengkulu,-3.8004,102.2655,75.72,89,3.98,04/24/2021,98,ID
voiron,45.3639,5.5921,69.8,32,8.05,04/24/2021,0,FR
camacha,33.0833,-16.3333,62.6,82,19.57,04/24/2021,40,PT
arraial do cabo,-22.9661,-42.0278,78.8,73,12.66,04/24/2021,20,BR
cabedelo,-6.9811,-34.8339,82.4,78,11.5,04/24/2021,75,BR
pochutla,15.7432,-96.4661,91.99,51,17.27,04/24/2021,40,MX
talnakh,69.4865,88.3972,30.56,97,11.05,04/24/2021,100,RU
pascagoula,30.3658,-88.5561,78.8,83,10.36,04/24/2021,90,US
scarborough,54.2797,-0.4044,46.0,77,3.0,04/24/2021,7,GB
victoria,22.2855,114.1577,77.0,87,3.0,04/24/2021,45,HK
omboue,-1.5746,9.2618,78.57,85,5.57,04/24/2021,99,GA
mar del plata,-38.0023,-57.5575,66.2,63,12.66,04/24/2021,40,AR
punta arenas,-53.15,-70.9167,51.8,71,16.11,04/24/2021,75,CL
